country,code
Afghanistan,AFG
Bahrain ,BHR
Cyprus ,CYP
Egypt ,EGY
Iran ,IRN
Iraq ,IRQ
Israel ,ISR
Jordan ,JOR
Kuwait ,KWT
Lebanon ,LBN
Oman ,OMN
Palestine ,PSE
Qatar ,QAT
Saudi Arabia ,SAU
Syria ,SYR
Turkey ,TUR
United Arab Emirates ,ARE
Yemen ,YEM
