OMRÅDE;KØN;ALDER;TID;INDHOLD
Hele landet;I alt;I alt;2008K1;5475791
Hele landet;I alt;I alt;2008K2;5482266
Hele landet;I alt;I alt;2008K3;5489022
Hele landet;I alt;I alt;2008K4;5505995
Hele landet;I alt;I alt;2009K1;5511451
Hele landet;I alt;I alt;2009K2;5515287
Hele landet;I alt;I alt;2009K3;5519441
Hele landet;I alt;I alt;2009K4;5532531
Hele landet;I alt;I alt;2010K1;5534738
