OMRÅDE;KØN;ALDER;CIVILSTAND;TID;INDHOLD
710 Favrskov;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;45604
766 Hedensted;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;45561
615 Horsens;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;80102
707 Norddjurs;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;38581
727 Odder;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;21562
730 Randers;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;93644
741 Samsø;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;4085
740 Silkeborg;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;87371
746 Skanderborg;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;56044
706 Syddjurs;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;41281
751 Aarhus;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;298538
657 Herning;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;84208
661 Holstebro;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;57020
756 Ikast-Brande;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;39893
665 Lemvig;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;22067
760 Ringkøbing-Skjern;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;58368
779 Skive;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;48356
671 Struer;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;22672
791 Viborg;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;92084
081 Region Nordjylland;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;578839
810 Brønderslev;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;35525
813 Frederikshavn;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;62751
860 Hjørring;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;67121
849 Jammerbugt;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;38957
825 Læsø;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;2003
846 Mariagerfjord;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;42667
773 Morsø;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;22091
840 Rebild;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;28753
787 Thisted;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;45549
820 Vesthimmerlands;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;38277
851 Aalborg;TOT I alt;IALT I alt;TOT I alt;2008K1 2008K1;195145
