Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
Military expenditure (current USD),MS.MIL.XPND.CD,Greenland,GRL,..
Military expenditure (current USD),MS.MIL.XPND.CD,Grenada,GRD,..
Military expenditure (current USD),MS.MIL.XPND.CD,Guam,GUM,..
Military expenditure (current USD),MS.MIL.XPND.CD,Guatemala,GTM,278420891.52709
Military expenditure (current USD),MS.MIL.XPND.CD,Guinea,GIN,209150578.316794
Military expenditure (current USD),MS.MIL.XPND.CD,Guinea-Bissau,GNB,..
Military expenditure (current USD),MS.MIL.XPND.CD,Guyana,GUY,59809426.6029784
Military expenditure (current USD),MS.MIL.XPND.CD,Haiti,HTI,79690.8881656554
Military expenditure (current USD),MS.MIL.XPND.CD,Honduras,HND,410414895.120735
Military expenditure (current USD),MS.MIL.XPND.CD,"Hong Kong SAR, China",HKG,..
Military expenditure (current USD),MS.MIL.XPND.CD,Hungary,HUN,1642338440.41211
Military expenditure (current USD),MS.MIL.XPND.CD,Iceland,ISL,0
Military expenditure (current USD),MS.MIL.XPND.CD,India,IND,66510289108.4743
Military expenditure (current USD),MS.MIL.XPND.CD,Indonesia,IDN,7437197347.73864
Military expenditure (current USD),MS.MIL.XPND.CD,"Iran, Islamic Rep.",IRN,13194151136.687
Military expenditure (current USD),MS.MIL.XPND.CD,Iraq,IRQ,6317977150.05254
Military expenditure (current USD),MS.MIL.XPND.CD,Ireland,IRL,1207582356.62099
Military expenditure (current USD),MS.MIL.XPND.CD,Isle of Man,IMN,..
Military expenditure (current USD),MS.MIL.XPND.CD,Israel,ISR,15946788601.4412
Military expenditure (current USD),MS.MIL.XPND.CD,Italy,ITA,27807513898.2331
Military expenditure (current USD),MS.MIL.XPND.CD,Jamaica,JAM,207772685.795336
Military expenditure (current USD),MS.MIL.XPND.CD,Japan,JPN,46617954863.9536
Military expenditure (current USD),MS.MIL.XPND.CD,Jordan,JOR,1957746478.87324
Military expenditure (current USD),MS.MIL.XPND.CD,Kazakhstan,KAZ,1613589333.20165
Military expenditure (current USD),MS.MIL.XPND.CD,Kenya,KEN,1097458153.05083
Military expenditure (current USD),MS.MIL.XPND.CD,Kiribati,KIR,..
Military expenditure (current USD),MS.MIL.XPND.CD,"Korea, Dem. People’s Rep.",PRK,..
Military expenditure (current USD),MS.MIL.XPND.CD,"Korea, Rep.",KOR,43069973342.8752
Military expenditure (current USD),MS.MIL.XPND.CD,Kosovo,XKX,63344074.218335
Military expenditure (current USD),MS.MIL.XPND.CD,Kuwait,KWT,7296266526.41746
Military expenditure (current USD),MS.MIL.XPND.CD,Kyrgyz Republic,KGZ,121163619.899255
Military expenditure (current USD),MS.MIL.XPND.CD,Lao PDR,LAO,..
Military expenditure (current USD),MS.MIL.XPND.CD,Latvia,LVA,679862611.097341
Military expenditure (current USD),MS.MIL.XPND.CD,Lebanon,LBN,2775557816.20658
Military expenditure (current USD),MS.MIL.XPND.CD,Lesotho,LSO,51064347.7548233
Military expenditure (current USD),MS.MIL.XPND.CD,Liberia,LBR,15786500
Military expenditure (current USD),MS.MIL.XPND.CD,Libya,LBY,..
Military expenditure (current USD),MS.MIL.XPND.CD,Liechtenstein,LIE,..
Military expenditure (current USD),MS.MIL.XPND.CD,Lithuania,LTU,1030416769.94441
Military expenditure (current USD),MS.MIL.XPND.CD,Luxembourg,LUX,419372654.804982
Military expenditure (current USD),MS.MIL.XPND.CD,"Macao SAR, China",MAC,..
Military expenditure (current USD),MS.MIL.XPND.CD,Madagascar,MDG,73258425.2386784
Military expenditure (current USD),MS.MIL.XPND.CD,Malawi,MWI,58369173.4379987
Military expenditure (current USD),MS.MIL.XPND.CD,Malaysia,MYS,3469828206.79145
Military expenditure (current USD),MS.MIL.XPND.CD,Maldives,MDV,..
Military expenditure (current USD),MS.MIL.XPND.CD,Mali,MLI,495165301.003645
Military expenditure (current USD),MS.MIL.XPND.CD,Malta,MLT,69284609.8462047
Military expenditure (current USD),MS.MIL.XPND.CD,Marshall Islands,MHL,..
Military expenditure (current USD),MS.MIL.XPND.CD,Mauritania,MRT,159013352.980386
Military expenditure (current USD),MS.MIL.XPND.CD,Mauritius,MUS,23202895.5612446
Military expenditure (current USD),MS.MIL.XPND.CD,Mexico,MEX,6567509335.98876
Military expenditure (current USD),MS.MIL.XPND.CD,"Micronesia, Fed. Sts.",FSM,..
Military expenditure (current USD),MS.MIL.XPND.CD,Moldova,MDA,33957719.0958561
Military expenditure (current USD),MS.MIL.XPND.CD,Monaco,MCO,..
Military expenditure (current USD),MS.MIL.XPND.CD,Mongolia,MNG,96067489.8598111
Military expenditure (current USD),MS.MIL.XPND.CD,Montenegro,MNE,83806050.3051119
Military expenditure (current USD),MS.MIL.XPND.CD,Morocco,MAR,3696856944.7441
Military expenditure (current USD),MS.MIL.XPND.CD,Mozambique,MOZ,145206801.949917
Military expenditure (current USD),MS.MIL.XPND.CD,Myanmar,MMR,2030465546.68451
Military expenditure (current USD),MS.MIL.XPND.CD,Namibia,NAM,451546508.809125
Military expenditure (current USD),MS.MIL.XPND.CD,Nauru,NRU,..
Military expenditure (current USD),MS.MIL.XPND.CD,Nepal,NPL,398521544.897916
Military expenditure (current USD),MS.MIL.XPND.CD,Netherlands,NLD,11242755804.209
Military expenditure (current USD),MS.MIL.XPND.CD,New Caledonia,NCL,..
Military expenditure (current USD),MS.MIL.XPND.CD,New Zealand,NZL,2262928311.88156
Military expenditure (current USD),MS.MIL.XPND.CD,Nicaragua,NIC,81593932.6938754
Military expenditure (current USD),MS.MIL.XPND.CD,Niger,NER,229639906.143836
Military expenditure (current USD),MS.MIL.XPND.CD,Nigeria,NGA,2043051719.21673
Military expenditure (current USD),MS.MIL.XPND.CD,North Macedonia,MKD,117383985.526288
Military expenditure (current USD),MS.MIL.XPND.CD,Northern Mariana Islands,MNP,..
Military expenditure (current USD),MS.MIL.XPND.CD,Norway,NOR,7067073380.84597
Military expenditure (current USD),MS.MIL.XPND.CD,Oman,OMN,6710013003.90117
Military expenditure (current USD),MS.MIL.XPND.CD,Pakistan,PAK,11375525626.0917
Military expenditure (current USD),MS.MIL.XPND.CD,Palau,PLW,..
Military expenditure (current USD),MS.MIL.XPND.CD,Panama,PAN,0
Military expenditure (current USD),MS.MIL.XPND.CD,Papua New Guinea,PNG,60592819.1437946
Military expenditure (current USD),MS.MIL.XPND.CD,Paraguay,PRY,386556389.586348
Military expenditure (current USD),MS.MIL.XPND.CD,Peru,PER,2708912280.26713
Military expenditure (current USD),MS.MIL.XPND.CD,Philippines,PHL,3769741011.26795
Military expenditure (current USD),MS.MIL.XPND.CD,Poland,POL,11596155290.5944
Military expenditure (current USD),MS.MIL.XPND.CD,Portugal,PRT,4247842970.62191
Military expenditure (current USD),MS.MIL.XPND.CD,Puerto Rico,PRI,..
Military expenditure (current USD),MS.MIL.XPND.CD,Qatar,QAT,..
Military expenditure (current USD),MS.MIL.XPND.CD,Romania,ROU,4608673549.83767
Military expenditure (current USD),MS.MIL.XPND.CD,Russian Federation,RUS,61387546980.4354
Military expenditure (current USD),MS.MIL.XPND.CD,Rwanda,RWA,118959174.046815
Military expenditure (current USD),MS.MIL.XPND.CD,Samoa,WSM,..
Military expenditure (current USD),MS.MIL.XPND.CD,San Marino,SMR,..
Military expenditure (current USD),MS.MIL.XPND.CD,Sao Tome and Principe,STP,..
Military expenditure (current USD),MS.MIL.XPND.CD,Saudi Arabia,SAU,67554666666.6667
Military expenditure (current USD),MS.MIL.XPND.CD,Senegal,SEN,346772974.607013
Military expenditure (current USD),MS.MIL.XPND.CD,Serbia,SRB,904323391.453924
Military expenditure (current USD),MS.MIL.XPND.CD,Seychelles,SYC,22823282.5442653
Military expenditure (current USD),MS.MIL.XPND.CD,Sierra Leone,SLE,29622478.0996257
Military expenditure (current USD),MS.MIL.XPND.CD,Singapore,SGP,10841000268.9878
Military expenditure (current USD),MS.MIL.XPND.CD,Sint Maarten (Dutch part),SXM,..
Military expenditure (current USD),MS.MIL.XPND.CD,Slovak Republic,SVK,1280643980.97329
Military expenditure (current USD),MS.MIL.XPND.CD,Slovenia,SVN,529496122.658546
Military expenditure (current USD),MS.MIL.XPND.CD,Solomon Islands,SLB,..
Military expenditure (current USD),MS.MIL.XPND.CD,Somalia,SOM,61556000
Military expenditure (current USD),MS.MIL.XPND.CD,South Africa,ZAF,3639879164.98451
Military expenditure (current USD),MS.MIL.XPND.CD,South Sudan,SSD,59353054.2969228
Military expenditure (current USD),MS.MIL.XPND.CD,Spain,ESP,18248291491.0945
Military expenditure (current USD),MS.MIL.XPND.CD,Sri Lanka,LKA,1681433577.38686
Military expenditure (current USD),MS.MIL.XPND.CD,St. Kitts and Nevis,KNA,..
Military expenditure (current USD),MS.MIL.XPND.CD,St. Lucia,LCA,..
Military expenditure (current USD),MS.MIL.XPND.CD,St. Martin (French part),MAF,..
Military expenditure (current USD),MS.MIL.XPND.CD,St. Vincent and the Grenadines,VCT,..
Military expenditure (current USD),MS.MIL.XPND.CD,Sudan,SDN,1047878719.98741
Military expenditure (current USD),MS.MIL.XPND.CD,Suriname,SUR,..
Military expenditure (current USD),MS.MIL.XPND.CD,Sweden,SWE,5755367603.12326
Military expenditure (current USD),MS.MIL.XPND.CD,Switzerland,CHE,4795847181.19875
Military expenditure (current USD),MS.MIL.XPND.CD,Syrian Arab Republic,SYR,..
Military expenditure (current USD),MS.MIL.XPND.CD,Tajikistan,TJK,..
Military expenditure (current USD),MS.MIL.XPND.CD,Tanzania,TZA,675475234.075221
Military expenditure (current USD),MS.MIL.XPND.CD,Thailand,THA,6829203403.39174
Military expenditure (current USD),MS.MIL.XPND.CD,Timor-Leste,TLS,20610000
Military expenditure (current USD),MS.MIL.XPND.CD,Togo,TGO,104378994.645016
Military expenditure (current USD),MS.MIL.XPND.CD,Tonga,TON,..
Military expenditure (current USD),MS.MIL.XPND.CD,Trinidad and Tobago,TTO,169332467.798996
Military expenditure (current USD),MS.MIL.XPND.CD,Tunisia,TUN,844227367.128514
Military expenditure (current USD),MS.MIL.XPND.CD,Turkey,TUR,18967113030.7979
Military expenditure (current USD),MS.MIL.XPND.CD,Turkmenistan,TKM,..
Military expenditure (current USD),MS.MIL.XPND.CD,Turks and Caicos Islands,TCA,..
Military expenditure (current USD),MS.MIL.XPND.CD,Tuvalu,TUV,..
Military expenditure (current USD),MS.MIL.XPND.CD,Uganda,UGA,408367566.71345
Military expenditure (current USD),MS.MIL.XPND.CD,Ukraine,UKR,4750219043.99628
Military expenditure (current USD),MS.MIL.XPND.CD,United Arab Emirates,ARE,..
Military expenditure (current USD),MS.MIL.XPND.CD,United Kingdom,GBR,49997192520.5639
Military expenditure (current USD),MS.MIL.XPND.CD,United States,USA,648798273000
Military expenditure (current USD),MS.MIL.XPND.CD,Uruguay,URY,1168130813.73561
Military expenditure (current USD),MS.MIL.XPND.CD,Uzbekistan,UZB,..
Military expenditure (current USD),MS.MIL.XPND.CD,Vanuatu,VUT,..
Military expenditure (current USD),MS.MIL.XPND.CD,"Venezuela, RB",VEN,..
Military expenditure (current USD),MS.MIL.XPND.CD,Vietnam,VNM,5500000000
Military expenditure (current USD),MS.MIL.XPND.CD,Virgin Islands (U.S.),VIR,..
Military expenditure (current USD),MS.MIL.XPND.CD,West Bank and Gaza,PSE,..
Military expenditure (current USD),MS.MIL.XPND.CD,"Yemen, Rep.",YEM,..
Military expenditure (current USD),MS.MIL.XPND.CD,Zambia,ZMB,378025430.958942
Military expenditure (current USD),MS.MIL.XPND.CD,Zimbabwe,ZWE,420364000
Military expenditure (current USD),MS.MIL.XPND.CD,Arab World,ARB,112512290717.961
Military expenditure (current USD),MS.MIL.XPND.CD,Caribbean small states,CSS,459997692.69731
Military expenditure (current USD),MS.MIL.XPND.CD,Central Europe and the Baltics,CEB,26681204886.4986
Military expenditure (current USD),MS.MIL.XPND.CD,Early-demographic dividend,EAR,252656094879.843
